Sm8	Qv5	Ie6	Rz6	Bi10	Rn9	Ai10	Bm7	Ed8	Ph7	Gq10	Lm8	Lo9	Ik6	Cl13	Pt8	Tr13	Tm13	Gu10	Iv8	Fn14	DV2J	Pz13	Cv9	Wm14	Qt8	Ss10	Yz6	Ht8	Sd4	Mo	JVA	Gl11	Je11	Kk13	Bw12	Vt12	Mi12	Ga13	Yr14	Fy11	Ta11	Mg12	Nn10	Dj15	Fw12	Cg16	Et12	Az15
Sm8	1	0.003	0.002	0.005	0.043	0.002	0.067	0.003	0.43	0.003	0.004	0.006	0.238	0.012	0.002	0.002	0.002	0.004	0.003	0.003	0.003	0.002	0.488	0.003	0.002	0.003	0.007	0.002	0.002	0.002	0.004	0.003	0.002	0.003	0.003	0.002	0.004	0.002	0.004	0.007	0.002	0.002	0.002	0.003	0.003	0.004	0.002	0.003	0.002
Qv5	0.003	1	0.005	0.064	0.004	0.003	0.002	0.008	0.003	0.009	0.102	0.003	0.003	0.006	0.002	0.003	0.004	0.003	0.124	0.005	0.005	0.003	0.017	0.004	0.037	0.004	0.003	0.025	0.002	0.004	0.004	0.003	0.002	0.003	0.005	0.006	0.028	0.002	0.004	0.004	0.006	0.009	0.002	0.002	0.04	0.002	0.003	0.004	0.007
Ie6	0.002	0.005	1	0.006	0.012	0.004	0.003	0.018	0.003	0.189	0.006	0.003	0.006	0.003	0.005	0.003	0.002	0.003	0.013	0.003	0.029	0.004	0.033	0.003	0.003	0.004	0.007	0.037	0.002	0.004	0.005	0.002	0.003	0.004	0.003	0.012	0.003	0.003	0.004	0.006	0.014	0.008	0.002	0.005	0.003	0.006	0.003	0.007	0.005
Rz6	0.005	0.064	0.006	1	0.006	0.003	0.001	0.007	0.006	0.003	0.1	0.002	0.004	0.004	0.002	0.003	0.002	0.017	0.018	0.006	0.168	0.004	0.004	0.013	0.016	0.003	0.006	0.016	0.002	0.003	0.003	0.002	0.002	0.002	0.003	0.006	0.007	0.002	0.003	0.005	0.003	0.003	0.002	0.004	0.003	0.004	0.012	0.003	0.008
Bi10	0.043	0.004	0.012	0.006	1	0.006	0.013	0.006	0.193	0.006	0.003	0.006	0.248	0.002	0.005	0.003	0.004	0.017	0.032	0.007	0.005	0.002	0.004	0.002	0.005	0.002	0.004	0.006	0.003	0.008	0.004	0.004	0.002	0.019	0.003	0.01	0.006	0.003	0.004	0.018	0.006	0.006	0.003	0.002	0.002	0.003	0.004	0.018	0.004
Rn9	0.002	0.003	0.004	0.003	0.006	1	0.004	0.003	0.002	0.025	0.001	0.006	0.006	0.007	0.079	0.124	0.029	0.002	0.007	0.003	0.002	0.003	0.003	0.002	0.002	0.03	0.004	0.001	0.144	0.047	0.004	0.004	0.223	0.003	0.006	0.002	0.002	0.003	0.052	0.004	0.003	0.003	0.073	0.005	0.002	0.002	0.003	0.003	0.011
Ai10	0.067	0.002	0.003	0.001	0.013	0.004	1	0.004	0.016	0.003	0.002	0.003	0.1	0.002	0.002	0.002	0.002	0.003	0.002	0.002	0.003	0.001	0.009	0.001	0.003	0.002	0.002	0.002	0.002	0.001	0.003	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002	0.003	0.093	0.009	0.002	0.002
Bm7	0.003	0.008	0.018	0.007	0.006	0.003	0.004	1	0.002	0.015	0.019	0.008	0.006	0.002	0.004	0.004	0.003	0.003	0.006	0.013	0.008	0.003	0.003	0.002	0.01	0.004	0.004	0.032	0.003	0.002	0.004	0.005	0.002	0.005	0.014	0.006	0.003	0.005	0.003	0.005	0.052	0.009	0.003	0.004	0.002	0.003	0.002	0.009	0.007
Ed8	0.43	0.003	0.003	0.006	0.193	0.002	0.016	0.002	1	0.007	0.002	0.006	0.102	0.007	0.002	0.002	0.002	0.013	0.002	0.007	0.003	0.002	0.166	0.002	0.003	0.003	0.004	0.002	0.002	0.003	0.003	0.002	0.002	0.003	0.003	0.008	0.004	0.002	0.005	0.005	0.002	0.002	0.002	0.002	0.003	0.005	0.003	0.004	0.004
Ph7	0.003	0.009	0.189	0.003	0.006	0.025	0.003	0.015	0.007	1	0.004	0.007	0.008	0.004	0.014	0.005	0.007	0.003	0.018	0.002	0.031	0.002	0.057	0.002	0.002	0.023	0.004	0.003	0.005	0.081	0.003	0.002	0.004	0.013	0.003	0.004	0.003	0.002	0.048	0.005	0.006	0.006	0.004	0.005	0.003	0.004	0.005	0.002	0.002
